,Site,Lat,Lon,Elev,Climate,continent,country_code
115936,El_Arenosillo,37.105,-6.733472,59.0,Csa,Europe,ES
116392,Masdar_Institute,24.4416,54.6166,4.0,BWh,Asia,AE
118714,Toulouse,43.574722,1.373889,150.0,Cfb,Europe,FR
118747,KORUS_Mokpo_NU,34.91342,126.43736,26.0,Cfa,Asia,KR
118832,Mobile_S_060708,26.105807,80.610912,142.0,Cwa,Asia,IN
118833,TUBITAK_UZAY_Ankara,39.891,32.778,924.0,Csa,Asia,TR
118886,Santa_Monica_Colg,34.01685,-118.47113,55.0,Csb,North America,US
119031,Saada,31.62583,-8.15583,420.0,BSh,Africa,MA
120377,Maldives_Gan,-0.6905,73.15,4.0,Aw,Asia,MV
120381,NEON_MLBS,37.378306,-80.524836,1170.0,Cfa,North America,US
120386,Cork_UCC,51.89241,-8.493762,40.0,Cfb,Europe,IE
120387,Gosan_NIMS_SNU,33.3001,126.2058,52.0,Cfa,Asia,KR
120468,Kanpur,26.512778,80.231639,123.0,Cwa,Asia,IN
132041,Epanomi,40.375,22.978,20.0,Csa,Europe,GR
132048,MAARCO,24.700333,54.658833,10.0,BWh,Asia,AE
132103,Calhau,16.863889,-24.867222,40.0,BWh,Africa,CV
132355,NhaTrang,12.204722,109.205556,20.0,Aw,Asia,VN
132559,Fukue,32.752,128.682,80.0,Cfa,Asia,JP
132583,DRAGON_OLNES,39.149148,-77.068267,180.0,Cfa,North America,US
132621,Windpoort,-19.365556,15.482778,1206.0,BWh,Africa,NA
133449,DRAGON_Korea_Univ,37.58514,127.02507,65.4,Dwa,Asia,KR
133545,Amity_Univ_Gurgaon,28.317329,76.916031,285.0,BSh,Asia,IN
133665,Lecce_University,40.335111,18.111389,30.0,Csa,Europe,IT
134339,Kaohsiung,22.675621,120.292171,15.0,Cwa,Asia,TW
135324,KORUS_Iksan,35.9622,127.0052,84.0,Dfa,Asia,KR
135473,DRAGON_Padonia,39.462036,-76.631669,120.0,Cfa,North America,US
135512,USDA_ALARC,33.077454,-111.97339,377.0,BWh,North America,US
135600,Kyungil_University,36.071667,128.82361,447.0,Dwa,Asia,KR
